question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,correct,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point
244,single,標準管理規約（複合用途型）,誤り選択;標準管理規約（複合用途型）,標準管理規約（複合用途型）に関する次の記述のうち、内容が正確でないものはどれか。,,,,,,複合用途型では、用途に応じて管理費負担や使用ルールを整理することがある。,複合用途型規約は、店舗の営業音や営業時間などとは一切関係しない。,複合用途型規約では、住宅部分と店舗部分の区分経理や部会が問題となることがある。,住宅と店舗等が併存するマンションでは、用途ごとの利害調整が問題となることがある。,2,正解は2。選択肢1（正しい）　用途に応じた負担やルール整理が必要となる。本肢の記述は正当である。選択肢2（誤り）　店舗の使用態様は共同生活に影響する場合がある。本肢の記述は誤りである。選択肢3（正しい）　用途別の区分経理や部会が検討される。本肢の記述は正当である。選択肢4（正しい）　複合用途型では用途ごとの利害調整が重要である。本肢の記述は正当である。,選択肢2（誤り）　店舗の使用態様は共同生活に影響する場合がある。,選択肢2（誤り）　店舗の使用態様は共同生活に影響する場合がある。,1:（1）の内容は、正答（2）「複合用途型規約は、店舗の営業音や営業時間などとは一切関係しない。」が示す論点とずれています。;3:（3）の内容は、正答（2）「複合用途型規約は、店舗の営業音や営業時間などとは一切関係しない。」が示す論点とずれています。;4:（4）の内容は、正答（2）「複合用途型規約は、店舗の営業音や営業時間などとは一切関係しない。」が示す論点とずれています。,
245,single,民法,正解選択;民法,共有に関する次の記述のうち、民法の定めによれば、内容が正確なものはどれか。,,,,,,共有物の管理事項は、常に全員一致でなければ決められず、持分価格の過半数で決することはない。,共有物の保存行為は、常に共有者全員の同意がなければできない。,共有者は、自分の持分割合に相当する面積以外を一切使用できない。,共有物の変更には、原則として他の共有者全員の同意が必要である。,4,正解は4。選択肢1（誤り）　管理事項は持分価格の過半数で決するのが原則である。本肢の記述は誤りである。選択肢2（誤り）　保存行為は各共有者が行える。本肢の記述は誤りである。選択肢3（誤り）　共有物全部について持分に応じた使用ができる。本肢の記述は誤りである。選択肢4（正しい）　変更には原則として全員同意が必要である。本肢の記述は正当である。,選択肢4（正しい）　変更には原則として全員同意が必要である。,選択肢4（正しい）　変更には原則として全員同意が必要である。,1:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（1）「共有物の管理事項は、常に全員一致でなければ決められず、持分価格の過半数で決することはない。」は本問の正答（4）とは異なるため不適です。;2:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（2）「共有物の保存行為は、常に共有者全員の同意がなければできない。」は本問の正答（4）とは異なるため不適です。;3:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（3）「共有者は、自分の持分割合に相当する面積以外を一切使用できない。」は本問の正答（4）とは異なるため不適です。,
246,single,民法,誤り選択;民法,契約不適合責任に関する次の記述のうち、民法の定めによれば、内容が正確でないものはどれか。,,,,,,目的物が契約の内容に適合しない場合、買主は履行の追完を請求できる場合がある。,契約不適合がある場合、代金減額請求、損害賠償請求、解除が問題となることがある。,請負の仕事の目的物が契約内容に適合しない場合にも、契約不適合責任が問題となることがある。,契約不適合があっても、買主は追完請求も代金減額請求も一切できない。,4,正解は4。選択肢1（正しい）　契約不適合では追完請求が認められる場合がある。本肢の記述は正当である。選択肢2（正しい）　契約不適合では複数の救済手段がある。本肢の記述は正当である。選択肢3（正しい）　工事請負でも契約不適合が問題となる。本肢の記述は正当である。選択肢4（誤り）　契約不適合では追完請求等が認められる場合がある。本肢の記述は誤りである。,選択肢4（誤り）　契約不適合では追完請求等が認められる場合がある。,選択肢4（誤り）　契約不適合では追完請求等が認められる場合がある。,1:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（1）「目的物が契約の内容に適合しない場合、買主は履行の追完を請求できる場合がある。」は本問の正答（4）とは異なるため不適です。;2:（2）の内容は、正答（4）「契約不適合があっても、買主は追完請求も代金減額請求も一切できない。」が示す論点とずれています。;3:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（3）「請負の仕事の目的物が契約内容に適合しない場合にも、契約不適合責任が問題となることがある。」は本問の正答（4）とは異なるため不適です。,
247,single,民法,正解選択;民法,賃貸借に関する次の記述のうち、民法又は借地借家法の定めによれば、内容が正確なものはどれか。,,,,,,賃貸人は、賃借人に目的物を使用収益させる義務を一切負わない。,賃借人は、賃貸人の承諾を得なければ、賃借権を譲渡し、又は賃借物を転貸することができない。,建物賃貸借では、賃貸人の更新拒絶に正当事由が問題となることはない。,賃借人は、賃貸人の承諾なしに常に自由に転貸できる。,2,正解は2。選択肢1（誤り）　賃貸人は使用収益させる義務を負う。本肢の記述は誤りである。選択肢2（正しい）　無断譲渡・転貸は原則として認められない。本肢の記述は正当である。選択肢3（誤り）　建物賃貸借では更新拒絶の正当事由が問題となる。本肢の記述は誤りである。選択肢4（誤り）　転貸には賃貸人の承諾が必要である。本肢の記述は誤りである。,選択肢2（正しい）　無断譲渡・転貸は原則として認められない。,選択肢2（正しい）　無断譲渡・転貸は原則として認められない。,1:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（1）「賃貸人は、賃借人に目的物を使用収益させる義務を一切負わない。」は本問の正答（2）とは異なるため不適です。;3:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（3）「建物賃貸借では、賃貸人の更新拒絶に正当事由が問題となることはない。」は本問の正答（2）とは異なるため不適です。;4:（4）の内容は、正答（2）「賃借人は、賃貸人の承諾を得なければ、賃借権を譲渡し、又は賃借物を転貸することができない。」が示す論点とずれています。,
248,single,民法,いくつあるか;民法,不法行為又は工作物責任に関する次の記述のうち、民法の定めによれば、正しいものはいくつあるか。ア 外壁タイルの剥落事故では、工作物責任が問題となることがある。イ 故意又は過失によって他人の権利又は法律上保護される利益を侵害した者は、損害賠償責任を負う。ウ 共用部分の管理不備による事故は、損害賠償責任と常に無関係である。エ 土地の工作物の設置又は保存に瑕疵がある場合、占有者又は所有者の責任が問題となる。,,,,,,一つ,二つ,三つ,四つ,3,正解は3（三つ）。ア（正しい）　建物外壁の事故では工作物責任が問題となり得る。イ（正しい）　不法行為責任の基本である。ウ（誤り）　共用部分の管理不備は責任問題につながる。エ（正しい）　土地工作物責任が問題となる。したがって、正しいものは三つである。,正解は3（三つ）。ア（正しい）　建物外壁の事故では工作物責任が問題となり得る。イ（正しい）　不法行為責任の基本である。ウ（誤り）　共用部分の管理不備は責任問題につながる。エ（正しい）　土地工作物責任が問題となる。したがって、正しいものは三つである。,正解は3（三つ）。ア（正しい）　建物外壁の事故では工作物責任が問題となり得る。イ（正しい）　不法行為責任の基本である。ウ（誤り）　共用部分の管理不備は責任問題につながる。エ（正しい）　土地工作物責任が問題となる。したがって、正しいものは三つである。,1:（1）「一つ」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（3）「三つ」です。問題文の条件（不法行為又は工作物責任に関する次の記述のうち、民法の定めによれば、正しいものはいくつあるか。ア …）と照らし、設問が問う論点に合う肢を選び直してください。;2:（2）「二つ」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（3）「三つ」です。問題文の条件（不法行為又は工作物責任に関する次の記述のうち、民法の定めによれば、正しいものはいくつあるか。ア …）と照らし、設問が問う論点に合う肢を選び直してください。;4:（4）「四つ」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（3）「三つ」です。問題文の条件（不法行為又は工作物責任に関する次の記述のうち、民法の定めによれば、正しいものはいくつあるか。ア …）と照らし、設問が問う論点に合う肢を選び直してください。,
249,single,民法,誤り選択;民法;不動産登記法,不動産登記に関する次の記述のうち、民法及び不動産登記法の考え方によれば、内容が正確でないものはどれか。,,,,,,不動産に関する物権の得喪及び変更は、原則として登記をしなければ第三者に対抗することができない。,区分建物では、専有部分の表示や敷地権に関する登記が問題となる。,不動産を取得した者は、登記がなくても常にすべての第三者に対抗できる。,相続登記は、専有部分の権利者を明らかにし、管理費請求や総会通知の相手方確認にも関係することがある。,3,正解は3。選択肢1（正しい）　不動産物権変動は登記が対抗要件となる。本肢の記述は正当である。選択肢2（正しい）　区分建物では敷地権登記等が重要である。本肢の記述は正当である。選択肢3（誤り）　登記がなければ対抗できない第三者がいる。本肢の記述は誤りである。選択肢4（正しい）　相続登記は管理実務にも影響する。本肢の記述は正当である。,選択肢3（誤り）　登記がなければ対抗できない第三者がいる。,選択肢3（誤り）　登記がなければ対抗できない第三者がいる。,1:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（1）「不動産に関する物権の得喪及び変更は、原則として登記をしなければ第三者に対抗することができない。」は本問の正答（3）とは異なるため不適です。;2:（2）の内容は、正答（3）「不動産を取得した者は、登記がなくても常にすべての第三者に対抗できる。」が示す論点とずれています。;4:（4）の内容は、正答（3）「不動産を取得した者は、登記がなくても常にすべての第三者に対抗できる。」が示す論点とずれています。,
250,single,マンション管理適正化法,誤り選択;マンション管理適正化法;5問免除,マンション管理士に関する次の記述のうち、マンション管理適正化法の定めによれば、内容が正確でないものはどれか。,,,,,,マンション管理士には、信用失墜行為の禁止が課されている。,マンション管理士には、業務上知り得た秘密を正当な理由なく漏らしてはならない義務がある。,マンション管理士は、専門的知識をもって管理組合等の相談に応じ、助言、指導その他の援助を行う。,マンション管理士は、管理組合の財産を当然に自己名義で自由に処分できる。,4,正解は4。選択肢1（正しい）　マンション管理士には信用保持義務がある。本肢の記述は正当である。選択肢2（正しい）　マンション管理士には秘密保持義務がある。本肢の記述は正当である。選択肢3（正しい）　マンション管理士の業務内容である。本肢の記述は正当である。選択肢4（誤り）　マンション管理士は助言等を行う資格者であり、財産処分権限を当然には有しない。本肢の記述は誤りである。,選択肢4（誤り）　マンション管理士は助言等を行う資格者であり、財産処分権限を当然には有しない。,選択肢4（誤り）　マンション管理士は助言等を行う資格者であり、財産処分権限を当然には有しない。,1:（1）の内容は、正答（4）「マンション管理士は、管理組合の財産を当然に自己名義で自由に処分できる。」が示す論点とずれています。;2:選択肢（2）「マンション管理士には、業務上知り得た秘密を正当な理由なく漏らしてはならない義務がある。;3:（3）の内容は、正答（4）「マンション管理士は、管理組合の財産を当然に自己名義で自由に処分できる。」が示す論点とずれています。,
251,single,マンション管理適正化法,正解選択;マンション管理適正化法;5問免除,マンション管理業者に関する次の記述のうち、マンション管理適正化法の定めによれば、内容が正確なものはどれか。,,,,,,重要事項説明書は、白紙で交付すれば常に足りる。,マンション管理業者には、管理組合の財産を適切に分別管理するための規制が設けられている。,マンション管理業者は、登録を受けなくても常に自由に管理業を営むことができる。,マンション管理業者は、管理組合の資金を自己の運転資金として自由に流用できる。,2,正解は2。選択肢1（誤り）　法定事項を記載して説明する必要がある。本肢の記述は誤りである。選択肢2（正しい）　分別管理規制がある。本肢の記述は正当である。選択肢3（誤り）　マンション管理業には登録が必要である。本肢の記述は誤りである。選択肢4（誤り）　管理組合財産は分別管理が必要である。本肢の記述は誤りである。,選択肢2（正しい）　分別管理規制がある。,選択肢2（正しい）　分別管理規制がある。,1:（1）の内容は、正答（2）「マンション管理業者には、管理組合の財産を適切に分別管理するための規制が設けられている。」が示す論点とずれています。;3:（3）の内容は、正答（2）「マンション管理業者には、管理組合の財産を適切に分別管理するための規制が設けられている。」が示す論点とずれています。;4:（4）の内容は、正答（2）「マンション管理業者には、管理組合の財産を適切に分別管理するための規制が設けられている。」が示す論点とずれています。,
252,single,マンション管理適正化法,誤り選択;マンション管理適正化法;5問免除,管理業務主任者に関する次の記述のうち、マンション管理適正化法の定めによれば、内容が正確でないものはどれか。,,,,,,管理業務主任者は、管理受託契約に関する重要事項説明に関与する資格者である。,管理業務主任者証は、重要事項説明時にも提示する必要が一切ない。,マンション管理業者は、事務所ごとに一定数の成年者である専任の管理業務主任者を置く必要がある。,管理業務主任者は、重要事項説明を行う際に管理業務主任者証を提示する必要がある。,2,正解は2。選択肢1（正しい）　管理業務主任者は重要事項説明に関与する。本肢の記述は正当である。選択肢2（誤り）　主任者証の提示が必要である。本肢の記述は誤りである。選択肢3（正しい）　事務所ごとの専任主任者設置が必要である。本肢の記述は正当である。選択肢4（正しい）　重要事項説明時の主任者証提示が必要である。本肢の記述は正当である。,選択肢2（誤り）　主任者証の提示が必要である。,選択肢2（誤り）　主任者証の提示が必要である。,1:（1）の内容は、正答（2）「管理業務主任者証は、重要事項説明時にも提示する必要が一切ない。」が示す論点とずれています。;3:（3）の内容は、正答（2）「管理業務主任者証は、重要事項説明時にも提示する必要が一切ない。」が示す論点とずれています。;4:（4）の内容は、正答（2）「管理業務主任者証は、重要事項説明時にも提示する必要が一切ない。」が示す論点とずれています。,
253,single,マンション管理適正化法,正解選択;マンション管理適正化法;5問免除,管理計画認定制度に関する次の記述のうち、マンション管理適正化法の考え方によれば、内容が正確なものはどれか。,,,,,,管理計画認定を受ければ、以後長期修繕計画を一切見直す必要がなくなる。,管理計画認定では、修繕積立金や長期修繕計画は一切確認されない。,管理計画認定は、各住戸の壁紙の色だけを認定する制度である。,長期修繕計画や修繕積立金の状況は、管理計画認定で重要な確認事項となる。,4,正解は4。選択肢1（誤り）　認定後も継続的な管理・見直しが必要である。本肢の記述は誤りである。選択肢2（誤り）　修繕積立金や長期修繕計画は重要な確認事項である。本肢の記述は誤りである。選択肢3（誤り）　管理組合の管理計画を認定する制度である。本肢の記述は誤りである。選択肢4（正しい）　修繕計画・積立金は認定基準で重要である。本肢の記述は正当である。,選択肢4（正しい）　修繕計画・積立金は認定基準で重要である。,選択肢4（正しい）　修繕計画・積立金は認定基準で重要である。,1:（1）の内容は、正答（4）「長期修繕計画や修繕積立金の状況は、管理計画認定で重要な確認事項となる。」が示す論点とずれています。;2:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（2）「管理計画認定では、修繕積立金や長期修繕計画は一切確認されない。」は本問の正答（4）とは異なるため不適です。;3:（3）の内容は、正答（4）「長期修繕計画や修繕積立金の状況は、管理計画認定で重要な確認事項となる。」が示す論点とずれています。,
254,single,標準管理委託契約書,誤り選択;標準管理委託契約書,マンション標準管理委託契約書に関する次の記述のうち、内容が正確でないものはどれか。,,,,,,契約更新時には、業務内容、委託費、業務実績、重要事項説明を確認することが重要である。,管理委託契約では、管理事務の内容、委託業務費、契約期間などを明確に定めることが重要である。,管理業者が一部業務を専門業者に委託する場合でも、責任や報告体制を明確にしておくことが重要である。,管理業者に委託した場合、理事会は管理組合運営に一切関与できなくなる。,4,正解は4。選択肢1（正しい）　更新時には条件確認が重要である。本肢の記述は正当である。選択肢2（正しい）　契約内容の明確化が重要である。本肢の記述は正当である。選択肢3（正しい）　再委託時も責任と報告体制が重要である。本肢の記述は正当である。選択肢4（誤り）　委託後も理事会の役割は残る。本肢の記述は誤りである。,選択肢4（誤り）　委託後も理事会の役割は残る。,選択肢4（誤り）　委託後も理事会の役割は残る。,1:（1）の内容は、正答（4）「管理業者に委託した場合、理事会は管理組合運営に一切関与できなくなる。」が示す論点とずれています。;2:（2）の内容は、正答（4）「管理業者に委託した場合、理事会は管理組合運営に一切関与できなくなる。」が示す論点とずれています。;3:（3）の内容は、正答（4）「管理業者に委託した場合、理事会は管理組合運営に一切関与できなくなる。」が示す論点とずれています。,
255,single,会計,正解選択;会計,管理組合の会計に関する次の記述のうち、一般的な会計処理の考え方によれば、内容が正確なものはどれか。,,,,,,預金残高が合っていれば、収支計算書や貸借対照表を作成する必要は一切ない。,未収管理費が発生した場合には、未収金として把握し、滞納状況を管理することが重要である。,管理組合の資金は、役員個人の生活費と自由に混同してよい。,予備費は、理事長の個人的な旅行費用に自由に使うための費目である。,2,正解は2。選択肢1（誤り）　収支状況や財産状態を明らかにする資料が必要である。本肢の記述は誤りである。選択肢2（正しい）　未収金管理は重要である。本肢の記述は正当である。選択肢3（誤り）　組合資金と個人資金を混同してはならない。本肢の記述は誤りである。選択肢4（誤り）　予備費は私的支出に使う費目ではない。本肢の記述は誤りである。,選択肢2（正しい）　未収金管理は重要である。,選択肢2（正しい）　未収金管理は重要である。,1:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（1）「預金残高が合っていれば、収支計算書や貸借対照表を作成する必要は一切ない。」は本問の正答（2）とは異なるため不適です。;3:（3）の内容は、正答（2）「未収管理費が発生した場合には、未収金として把握し、滞納状況を管理することが重要である。」が示す論点とずれています。;4:（4）の内容は、正答（2）「未収管理費が発生した場合には、未収金として把握し、滞納状況を管理することが重要である。」が示す論点とずれています。,
256,single,税務,誤り選択;税務;会計,管理組合の税務に関する次の記述のうち、一般的な税務の考え方によれば、内容が正確でないものはどれか。,,,,,,管理組合が外部に駐車場を貸し付けるなど対価性のある取引を行う場合、消費税の課税関係が問題となることがある。,管理組合には、消費税の課税関係が絶対に発生しない。,組合員から徴収する管理費や修繕積立金と外部収入は、性質を区別して検討することが重要である。,携帯電話基地局設置料など外部からの収入については、収益事業に該当するか等により法人税等の課税関係が問題となることがある。,2,正解は2。選択肢1（正しい）　外部取引では消費税が問題となる場合がある。本肢の記述は正当である。選択肢2（誤り）　取引内容によって消費税が問題となる。本肢の記述は誤りである。選択肢3（正しい）　内部負担金と外部収入を区別することが重要である。本肢の記述は正当である。選択肢4（正しい）　外部収入は収益事業該当性が問題となる。本肢の記述は正当である。,選択肢2（誤り）　取引内容によって消費税が問題となる。,選択肢2（誤り）　取引内容によって消費税が問題となる。,1:（1）の内容は、正答（2）「管理組合には、消費税の課税関係が絶対に発生しない。」が示す論点とずれています。;3:（3）の内容は、正答（2）「管理組合には、消費税の課税関係が絶対に発生しない。」が示す論点とずれています。;4:（4）の内容は、正答（2）「管理組合には、消費税の課税関係が絶対に発生しない。」が示す論点とずれています。,
257,single,建築基準法,正解選択;建築基準法,建築基準法に関する次の記述のうち、内容が正確なものはどれか。,,,,,,建蔽率は、建築物の高さを敷地面積で割った割合である。,建築基準法は、最高級の内装デザインだけを定める法律である。,建築確認は、建築主の好みの外観色だけを審査する手続である。,防火地域や準防火地域では、建築物の構造や防火措置について制限が設けられることがある。,4,正解は4。選択肢1（誤り）　建蔽率は建築面積の敷地面積に対する割合である。本肢の記述は誤りである。選択肢2（誤り）　建築基準法は敷地・構造・設備・用途等の最低基準を定める。本肢の記述は誤りである。選択肢3（誤り）　建築確認は建築基準関係規定への適合を確認する。本肢の記述は誤りである。選択肢4（正しい）　防火地域等では防火上の制限がある。本肢の記述は正当である。,選択肢4（正しい）　防火地域等では防火上の制限がある。,選択肢4（正しい）　防火地域等では防火上の制限がある。,1:（1）の内容は、正答（4）「防火地域や準防火地域では、建築物の構造や防火措置について制限が設けられることがある。」が示す論点とずれています。;2:根拠の記述が異なります。解説では「建築基準法」が根拠ですが、（2）は「内装デザインだけを定める法」を根拠とする内容です。;3:（3）の内容は、正答（4）「防火地域や準防火地域では、建築物の構造や防火措置について制限が設けられることがある。」が示す論点とずれています。,
258,single,都市計画法,誤り選択;都市計画法;建築基準法,都市計画法又は建築基準法に関する次の記述のうち、内容が正確でないものはどれか。,,,,,,市街化区域は、すでに市街地を形成している区域及びおおむね10年以内に優先的かつ計画的に市街化を図るべき区域である。,市街化調整区域は、市街化を抑制すべき区域である。,用途地域ごとに、建築できる建築物の用途や建蔽率、容積率等の制限が異なる。,市街化調整区域は、市街化を積極的に促進する区域である。,4,正解は4。選択肢1（正しい）　市街化区域の定義である。本肢の記述は正当である。選択肢2（正しい）　市街化調整区域は市街化抑制区域である。本肢の記述は正当である。選択肢3（正しい）　用途地域に応じて建築制限が異なる。本肢の記述は正当である。選択肢4（誤り）　市街化調整区域は市街化を抑制すべき区域である。本肢の記述は誤りである。,選択肢4（誤り）　市街化調整区域は市街化を抑制すべき区域である。,選択肢4（誤り）　市街化調整区域は市街化を抑制すべき区域である。,1:（1）の内容は、正答（4）「市街化調整区域は、市街化を積極的に促進する区域である。」が示す論点とずれています。;2:（2）の内容は、正答（4）「市街化調整区域は、市街化を積極的に促進する区域である。」が示す論点とずれています。;3:（3）の内容は、正答（4）「市街化調整区域は、市街化を積極的に促進する区域である。」が示す論点とずれています。,
259,single,マンション建替え等円滑化法,組合せ;マンション建替え等円滑化法,マンション建替え等円滑化法に関する次の記述のうち、正しいものの組合せはどれか。ア 建替え事業では、権利変換計画など区分所有者等の権利調整に関する手続が問題となる。イ 建替え事業では、区分所有者等の権利調整は一切不要である。ウ 耐震性不足等のマンションでは、除却や敷地売却に関する制度が問題となる場合がある。エ マンション建替組合は、建替え事業とは無関係の任意サークルである。,,,,,,アとイ,アとウ,イとエ,ウとエ,2,正解は2（アとウ）。ア（正しい）　権利変換計画が重要である。イ（誤り）　権利調整手続が重要である。ウ（正しい）　耐震性不足等では敷地売却制度等が問題となる。エ（誤り）　建替組合は建替事業の実施主体である。したがって、正しいものの組合せはアとウである。,正解は2（アとウ）。ア（正しい）　権利変換計画が重要である。イ（誤り）　権利調整手続が重要である。ウ（正しい）　耐震性不足等では敷地売却制度等が問題となる。エ（誤り）　建替組合は建替事業の実施主体である。したがって、正しいものの組合せはアとウである。,正解は2（アとウ）。ア（正しい）　権利変換計画が重要である。イ（誤り）　権利調整手続が重要である。ウ（正しい）　耐震性不足等では敷地売却制度等が問題となる。エ（誤り）　建替組合は建替事業の実施主体である。したがって、正しいものの組合せはアとウである。,1:（1）「アとイ」は正答（2）「アとウ」と異なる組合せです。 ア：正しい　権利変換計画が重要である。 イ：誤り　権利調整手続が重要である。;3:（3）「イとエ」は正答（2）「アとウ」と異なる組合せです。 イ：誤り　権利調整手続が重要である。 エ：誤り　建替組合は建替事業の実施主体である。;4:（4）「ウとエ」は正答（2）「アとウ」と異なる組合せです。 ウ：正しい　耐震性不足等では敷地売却制度等が問題となる。 エ：誤り　建替組合は建替事業の実施主体である。,
260,single,建物・設備,誤り選択;建物・設備,マンションの給排水設備に関する次の記述のうち、内容が正確でないものはどれか。,,,,,,貯水槽水道では、受水槽の清掃、点検、水質管理などが衛生管理上重要となる。,受水槽は飲料水を貯留する設備ではないため、汚染を考慮する必要がない。,受水槽方式では、水道本管から受水槽に水を受け、ポンプ等により各住戸へ給水する。,排水管の詰まりや腐食は、漏水、悪臭、排水不良などの原因となることがある。,2,正解は2。選択肢1（正しい）　受水槽の衛生管理が重要である。本肢の記述は正当である。選択肢2（誤り）　受水槽は飲料水の衛生管理が重要である。本肢の記述は誤りである。選択肢3（正しい）　受水槽方式の基本である。本肢の記述は正当である。選択肢4（正しい）　排水管劣化は漏水等につながる。本肢の記述は正当である。,選択肢2（誤り）　受水槽は飲料水の衛生管理が重要である。,選択肢2（誤り）　受水槽は飲料水の衛生管理が重要である。,1:（1）の内容は、正答（2）「受水槽は飲料水を貯留する設備ではないため、汚染を考慮する必要がない。」が示す論点とずれています。;3:（3）の内容は、正答（2）「受水槽は飲料水を貯留する設備ではないため、汚染を考慮する必要がない。」が示す論点とずれています。;4:（4）の内容は、正答（2）「受水槽は飲料水を貯留する設備ではないため、汚染を考慮する必要がない。」が示す論点とずれています。,設備・維持保全は数値基準・点検周期・責任の所在がセットで出題されます。表や比較で整理し、他選択肢がどの要件（数値・主体・手続）とずれているかを確認してください。
261,single,建物・設備,正解選択;建物・設備,マンションの電気設備、消防用設備又は昇降機に関する次の記述のうち、内容が正確なものはどれか。,,,,,,自動火災報知設備は、一度設置すれば点検も故障対応も不要である。,エレベーターは機械設備ではないため、摩耗や劣化が生じることはない。,誘導灯は、避難方向を示す設備ではなく、給水ポンプの作動状況だけを表示する設備である。,消防用設備等は、設置後も定期的な点検及び報告が必要となる場合がある。,4,正解は4。選択肢1（誤り）　消防用設備等は維持管理が必要である。本肢の記述は誤りである。選択肢2（誤り）　エレベーターは機械設備であり保守が必要である。本肢の記述は誤りである。選択肢3（誤り）　誘導灯は避難誘導に関係する設備である。本肢の記述は誤りである。選択肢4（正しい）　消防用設備等は定期点検・報告が必要となる。本肢の記述は正当である。,選択肢4（正しい）　消防用設備等は定期点検・報告が必要となる。,選択肢4（正しい）　消防用設備等は定期点検・報告が必要となる。,1:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（1）「自動火災報知設備は、一度設置すれば点検も故障対応も不要である。」は本問の正答（4）とは異なるため不適です。;2:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（2）「エレベーターは機械設備ではないため、摩耗や劣化が生じることはない。」は本問の正答（4）とは異なるため不適です。;3:（3）の内容は、正答（4）「消防用設備等は、設置後も定期的な点検及び報告が必要となる場合がある。」が示す論点とずれています。,設備・維持保全は数値基準・点検周期・責任の所在がセットで出題されます。表や比較で整理し、他選択肢がどの要件（数値・主体・手続）とずれているかを確認してください。
262,single,建物・設備,誤り選択;建物・設備;長期修繕計画,外壁又は防水に関する次の記述のうち、内容が正確でないものはどれか。,,,,,,屋上防水層の劣化は、漏水の原因となることがある。,シーリング材は、外壁目地やサッシ周りなどの防水性に関係する。,タイルの浮きやひび割れは、落下事故や雨水浸入の原因となることがある。,屋上防水は雨水と無関係であり、点検や改修の対象とする必要がない。,4,正解は4。選択肢1（正しい）　屋上防水劣化は漏水原因となる。本肢の記述は正当である。選択肢2（正しい）　シーリングは防水性に関係する。本肢の記述は正当である。選択肢3（正しい）　外壁劣化は落下や漏水につながる。本肢の記述は正当である。選択肢4（誤り）　屋上防水は雨水浸入防止に重要である。本肢の記述は誤りである。,選択肢4（誤り）　屋上防水は雨水浸入防止に重要である。,選択肢4（誤り）　屋上防水は雨水浸入防止に重要である。,1:（1）の内容は、正答（4）「屋上防水は雨水と無関係であり、点検や改修の対象とする必要がない。」が示す論点とずれています。;2:（2）の内容は、正答（4）「屋上防水は雨水と無関係であり、点検や改修の対象とする必要がない。」が示す論点とずれています。;3:（3）の内容は、正答（4）「屋上防水は雨水と無関係であり、点検や改修の対象とする必要がない。」が示す論点とずれています。,設備・維持保全は数値基準・点検周期・責任の所在がセットで出題されます。表や比較で整理し、他選択肢がどの要件（数値・主体・手続）とずれているかを確認してください。
263,single,長期修繕計画,正解選択;長期修繕計画,長期修繕計画に関する次の記述のうち、内容が正確なものはどれか。,,,,,,長期修繕計画は、修繕積立金の額の検討とは一切関係しない。,長期修繕計画は、建物の劣化状況や工事費の変動に応じて定期的に見直すことが重要である。,長期修繕計画は、新築時に一度作成すれば、以後永久に見直してはならない。,長期修繕計画は、翌月1か月分の清掃予定表を作成すれば足りる。,2,正解は2。選択肢1（誤り）　修繕積立金の検討と密接に関係する。本肢の記述は誤りである。選択肢2（正しい）　定期的な見直しが必要である。本肢の記述は正当である。選択肢3（誤り）　長期修繕計画は定期的に見直すことが重要である。本肢の記述は誤りである。選択肢4（誤り）　長期修繕計画は長期の修繕工事を見込むものである。本肢の記述は誤りである。,選択肢2（正しい）　定期的な見直しが必要である。,選択肢2（正しい）　定期的な見直しが必要である。,1:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（1）「長期修繕計画は、修繕積立金の額の検討とは一切関係しない。」は本問の正答（2）とは異なるため不適です。;3:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（3）「長期修繕計画は、新築時に一度作成すれば、以後永久に見直してはならない。」は本問の正答（2）とは異なるため不適です。;4:（4）の内容は、正答（2）「長期修繕計画は、建物の劣化状況や工事費の変動に応じて定期的に見直すことが重要である。」が示す論点とずれています。,
